Category,City,Country/Region,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Segment,State,Sub-Category,Discount,Profit,Quantity,Sales
Furniture,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,10/11/2019,US-2019-108966,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,South,Consumer,Florida,Tables,45.00%,($383),5,$958 
Office Supplies,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,10/11/2019,US-2019-108966,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,South,Consumer,Florida,Storage,20.00%,$3 ,2,$22 
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,Consumer,California,Furnishings,0.00%,$14 ,7,$49 
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,OFF-AR-10002833,Newell 322,West,Consumer,California,Art,0.00%,$2 ,4,$7 
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,West,Consumer,California,Phones,20.00%,$91 ,6,$907 
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,West,Consumer,California,Binders,20.00%,$6 ,3,$19 
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,West,Consumer,California,Appliances,0.00%,$34 ,5,$115 
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,West,Consumer,California,Tables,20.00%,$85 ,9,"$1,706 "
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,6/9/2018,CA-2018-115812,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,West,Consumer,California,Phones,20.00%,$68 ,4,$911 
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,11/22/2019,US-2019-118983,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Home Office,Texas,Appliances,80.00%,($124),5,$69 
